utc_timestamp,AT_temperature,AT_radiation_direct_horizontal,AT_radiation_diffuse_horizontal,BE_temperature,BE_radiation_direct_horizontal,BE_radiation_diffuse_horizontal,BG_temperature,BG_radiation_direct_horizontal,BG_radiation_diffuse_horizontal,CH_temperature,CH_radiation_direct_horizontal,CH_radiation_diffuse_horizontal,CZ_temperature,CZ_radiation_direct_horizontal,CZ_radiation_diffuse_horizontal,DE_temperature,DE_radiation_direct_horizontal,DE_radiation_diffuse_horizontal,DK_temperature,DK_radiation_direct_horizontal,DK_radiation_diffuse_horizontal,EE_temperature,EE_radiation_direct_horizontal,EE_radiation_diffuse_horizontal,ES_temperature,ES_radiation_direct_horizontal,ES_radiation_diffuse_horizontal,FI_temperature,FI_radiation_direct_horizontal,FI_radiation_diffuse_horizontal,FR_temperature,FR_radiation_direct_horizontal,FR_radiation_diffuse_horizontal,GB_temperature,GB_radiation_direct_horizontal,GB_radiation_diffuse_horizontal,GR_temperature,GR_radiation_direct_horizontal,GR_radiation_diffuse_horizontal,HR_temperature,HR_radiation_direct_horizontal,HR_radiation_diffuse_horizontal,HU_temperature,HU_radiation_direct_horizontal,HU_radiation_diffuse_horizontal,IE_temperature,IE_radiation_direct_horizontal,IE_radiation_diffuse_horizontal,IT_temperature,IT_radiation_direct_horizontal,IT_radiation_diffuse_horizontal,LT_temperature,LT_radiation_direct_horizontal,LT_radiation_diffuse_horizontal,LU_temperature,LU_radiation_direct_horizontal,LU_radiation_diffuse_horizontal,LV_temperature,LV_radiation_direct_horizontal,LV_radiation_diffuse_horizontal,NL_temperature,NL_radiation_direct_horizontal,NL_radiation_diffuse_horizontal,NO_temperature,NO_radiation_direct_horizontal,NO_radiation_diffuse_horizontal,PL_temperature,PL_radiation_direct_horizontal,PL_radiation_diffuse_horizontal,PT_temperature,PT_radiation_direct_horizontal,PT_radiation_diffuse_horizontal,RO_temperature,RO_radiation_direct_horizontal,RO_radiation_diffuse_horizontal,SE_temperature,SE_radiation_direct_horizontal,SE_radiation_diffuse_horizontal,SI_temperature,SI_radiation_direct_horizontal,SI_radiation_diffuse_horizontal,SK_temperature,SK_radiation_direct_horizontal,SK_radiation_diffuse_horizontal
1980-01-01T00:00:00Z,-3.6400,0.0000,0.0000,-0.7200,0.0000,0.0000,4.6640,0.0000,0.0000,-6.2870,0.0000,0.0000,-3.4220,0.0000,0.0000,-1.2610,0.0000,0.0000,-1.8700,0.0000,0.0000,-7.0600,0.0000,0.0000,8.0660,0.0000,0.0000,-6.2540,0.0000,0.0000,-0.5370,0.0000,0.0000,-1.2490,0.0000,0.0000,9.9120,0.0000,0.0000,-0.8800,0.0000,0.0000,-3.0210,0.0000,0.0000,1.2920,0.0000,0.0000,0.3010,0.0000,0.0000,-6.5410,0.0000,0.0000,-5.1500,0.0000,0.0000,-7.1660,0.0000,0.0000,2.3820,0.0000,0.0000,-7.0380,0.0000,0.0000,-3.7210,0.0000,0.0000,12.8620,0.0000,0.0000,-0.0310,0.0000,0.0000,-3.9450,0.0000,0.0000,-3.0550,0.0000,0.0000,-4.6480,0.0000,0.0000
1980-01-01T01:00:00Z,-3.8030,0.0000,0.0000,-1.1650,0.0000,0.0000,4.0520,0.0000,0.0000,-6.6020,0.0000,0.0000,-3.3600,0.0000,0.0000,-1.4140,0.0000,0.0000,-1.9140,0.0000,0.0000,-7.3410,0.0000,0.0000,7.9600,0.0000,0.0000,-6.2320,0.0000,0.0000,-0.4890,0.0000,0.0000,-1.3770,0.0000,0.0000,9.3690,0.0000,0.0000,-0.8880,0.0000,0.0000,-2.7930,0.0000,0.0000,1.1210,0.0000,0.0000,0.1450,0.0000,0.0000,-6.5090,0.0000,0.0000,-5.3330,0.0000,0.0000,-7.3710,0.0000,0.0000,2.2360,0.0000,0.0000,-6.9410,0.0000,0.0000,-3.8060,0.0000,0.0000,12.7570,0.0000,0.0000,0.3110,0.0000,0.0000,-4.0530,0.0000,0.0000,-3.2720,0.0000,0.0000,-4.5540,0.0000,0.0000
1980-01-01T02:00:00Z,-3.9690,0.0000,0.0000,-1.4340,0.0000,0.0000,3.5810,0.0000,0.0000,-6.9810,0.0000,0.0000,-3.4290,0.0000,0.0000,-1.5710,0.0000,0.0000,-1.9760,0.0000,0.0000,-7.5910,0.0000,0.0000,8.0080,0.0000,0.0000,-6.3430,0.0000,0.0000,-0.3910,0.0000,0.0000,-1.4490,0.0000,0.0000,9.0560,0.0000,0.0000,-0.9500,0.0000,0.0000,-2.5970,0.0000,0.0000,0.9800,0.0000,0.0000,-0.0290,0.0000,0.0000,-6.4160,0.0000,0.0000,-5.1670,0.0000,0.0000,-7.3420,0.0000,0.0000,2.0860,0.0000,0.0000,-6.8560,0.0000,0.0000,-3.8680,0.0000,0.0000,12.6740,0.0000,0.0000,0.5680,0.0000,0.0000,-4.1290,0.0000,0.0000,-3.6390,0.0000,0.0000,-4.4550,0.0000,0.0000
1980-01-01T03:00:00Z,-4.0760,0.0000,0.0000,-1.8430,0.0000,0.0000,3.1970,0.0000,0.0000,-7.3680,0.0000,0.0000,-3.6970,0.0000,0.0000,-1.7600,0.0000,0.0000,-2.0400,0.0000,0.0000,-7.7160,0.0000,0.0000,8.0650,0.0000,0.0000,-6.5500,0.0000,0.0000,-0.3540,0.0000,0.0000,-1.4810,0.0000,0.0000,8.6580,0.0000,0.0000,-1.1570,0.0000,0.0000,-2.5680,0.0000,0.0000,0.9440,0.0000,0.0000,-0.1910,0.0000,0.0000,-6.1970,0.0000,0.0000,-5.1050,0.0000,0.0000,-7.2060,0.0000,0.0000,1.8610,0.0000,0.0000,-6.7610,0.0000,0.0000,-3.9340,0.0000,0.0000,12.6220,0.0000,0.0000,0.6100,0.0000,0.0000,-4.1390,0.0000,0.0000,-4.2020,0.0000,0.0000,-4.4210,0.0000,0.0000
1980-01-01T04:00:00Z,-4.2480,0.0000,0.0000,-2.0940,0.0000,0.0000,2.7500,0.0000,0.0000,-7.8490,0.0000,0.0000,-4.0810,0.0000,0.0000,-1.9950,0.0000,0.0000,-2.1060,0.0000,0.0000,-7.6380,0.0000,0.0000,8.0090,0.0000,0.0000,-6.7220,0.0000,0.0000,-0.3540,0.0000,0.0000,-1.4330,0.0000,0.0000,8.3350,0.0000,0.0000,-1.4680,0.0000,0.0000,-2.6890,0.0000,0.0000,0.9100,0.0000,0.0000,-0.2750,0.0000,0.0000,-5.8990,0.0000,0.0000,-5.2180,0.0000,0.0000,-7.0730,0.0000,0.0000,1.7130,0.0000,0.0000,-6.5690,0.0000,0.0000,-4.0640,0.0000,0.0000,12.5220,0.0000,0.0000,0.4620,0.0000,0.0000,-4.2390,0.0000,0.0000,-4.7320,0.0000,0.0000,-4.4490,0.0000,0.0000
1980-01-01T05:00:00Z,-4.5270,0.0000,0.0000,-2.0600,0.0000,0.0000,2.3970,0.0102,0.3956,-8.1120,0.0000,0.0000,-4.1770,0.0000,0.0000,-2.1900,0.0000,0.0000,-2.1370,0.0000,0.0000,-7.4320,0.0000,0.0000,7.9500,0.0000,0.0000,-6.8210,0.0000,0.0000,-0.3970,0.0000,0.0000,-1.4260,0.0000,0.0000,8.0690,0.0521,1.3162,-1.7380,0.0000,0.0000,-2.8060,0.0000,0.0000,0.9030,0.0000,0.0000,-0.2820,0.0000,0.0000,-5.7040,0.0000,0.0000,-5.2980,0.0000,0.0000,-6.8640,0.0000,0.0000,1.5960,0.0000,0.0000,-6.5610,0.0000,0.0000,-4.1950,0.0000,0.0000,12.3930,0.0000,0.0000,0.1580,0.0005,0.0514,-4.3350,0.0000,0.0000,-5.1550,0.0000,0.0000,-4.5170,0.0000,0.0000
1980-01-01T06:00:00Z,-4.8400,0.0239,0.4413,-1.8800,0.0000,0.0000,2.4870,2.1147,33.8837,-7.9980,0.0000,0.0000,-4.1920,0.0038,0.1368,-2.3160,0.0000,0.0000,-2.1560,0.0000,0.0000,-7.3140,0.0000,0.0000,7.8070,0.0000,0.0000,-6.8760,0.0000,0.0000,-0.4210,0.0000,0.0008,-1.4820,0.0000,0.0000,8.0660,3.4501,42.1298,-1.9890,0.1931,3.0941,-2.9150,0.0401,2.1752,0.8900,0.0000,0.0000,-0.1840,0.8428,4.3465,-5.7040,0.0087,0.2559,-5.4230,0.0000,0.0000,-6.7530,0.0019,0.0483,1.5050,0.0000,0.0000,-6.6340,0.0000,0.0000,-4.3120,0.0110,0.4919,12.2290,0.0000,0.0000,-0.1620,0.2407,12.0231,-4.3840,0.0000,0.0000,-5.4160,0.1808,1.3320,-4.6070,0.0426,1.7088
1980-01-01T07:00:00Z,-4.7030,4.6844,33.5061,-1.7790,0.0168,0.5700,2.9270,6.6590,86.1208,-7.7010,0.6893,10.7658,-3.9510,1.6139,23.4181,-2.4390,0.1648,4.9126,-2.1730,0.0066,0.2932,-7.2210,0.2760,5.7000,7.7590,0.7364,6.3074,-6.9410,0.0141,0.7144,-0.4040,0.1223,3.3003,-1.5790,0.0000,0.0000,8.3470,18.9413,114.2656,-1.4560,9.6194,52.0494,-2.8010,0.8621,29.3190,0.7960,0.0000,0.0000,0.8390,27.6209,48.0977,-5.4740,0.9448,18.2143,-5.2940,0.0849,2.4994,-6.6360,0.9034,13.4459,1.3210,0.0018,0.1485,-6.8040,0.0000,0.0000,-4.1740,0.6938,19.1518,12.0430,0.0113,0.1238,-0.2580,1.0967,42.8109,-4.4680,0.0043,0.2284,-4.3930,25.4063,42.5939,-4.2540,1.1625,29.9951
1980-01-01T08:00:00Z,-3.8350,30.1528,90.8233,-1.0900,1.0475,24.1737,3.0230,10.3980,126.1215,-6.6690,8.6186,64.3156,-2.9050,9.1172,74.3132,-2.2040,2.0364,38.6062,-2.0340,0.8823,18.4301,-6.7790,2.6294,32.1775,8.6510,10.7892,58.9658,-6.8570,0.5006,12.0654,0.2900,2.2864,38.0841,-1.5840,0.2142,5.8579,8.6630,44.5620,172.8768,0.0380,41.5841,106.2609,-2.3540,3.0385,68.5157,0.7340,0.0065,0.3066,2.8000,102.9430,88.3141,-4.6540,4.0573,51.4073,-4.5400,2.0921,36.0938,-6.0150,5.3815,47.2635,1.2980,0.2223,12.5921,-6.8610,0.1315,2.2299,-3.5340,3.1822,56.4284,12.3810,11.2534,36.8352,-0.2150,2.8222,79.1826,-4.3620,0.5903,12.8326,-2.0110,115.8052,68.3450,-3.5400,3.9085,70.0679
1980-06-14T05:00:00Z,17.9080,119.0777,154.5539,18.7030,7.2879,98.8748,19.1660,334.0175,85.6691,16.0570,66.3256,134.4968,17.0870,74.3931,178.3204,18.0990,46.2027,156.3352,14.4520,27.9720,161.6720,12.0650,331.4389,132.2308,13.6050,19.4524,56.6135,13.0460,157.9947,213.7607,16.6120,8.2436,87.3912,12.6180,1.3559,50.5171,23.0550,325.3571,74.1113,20.2320,172.9499,138.7412,20.1240,177.3677,159.5026,11.3620,2.9477,58.1958,19.2960,133.2080,124.9339,14.4340,315.0475,129.1583,16.7790,3.4393,80.3602,12.7790,316.9018,131.5515,17.6920,6.7374,103.8305,12.9320,93.9846,166.9497,16.4670,117.1164,188.8038,13.2780,1.1292,17.6515,18.7750,262.5598,159.8012,14.5380,106.8633,185.4345,19.3770,154.2156,135.3740,17.8820,167.4080,164.9343
